TR Period,TR Start Date,TR End Date,Country/Region,Legal Violation Takedown Requests Received,Apps Specified in Requests,Requests Objected to in Part or Rejected in Full,Requests where App Removed,Apps Removed,Appeals Received,Appeals Granted,Apps Reinstated
2018 H2,7/1/18,12/31/18,China mainland,56,626,2,55,517, -, -, -
2018 H2,7/1/18,12/31/18,Vietnam,3,29,3,1,9, -, -, -
2018 H2,7/1/18,12/31/18,Austria,1,5,0,1,5, -, -, -
2018 H2,7/1/18,12/31/18,Kuwait,1,6,1,1,5, -, -, -
2018 H2,7/1/18,12/31/18,Lebanon,1,1,0,1,1, -, -, -
2018 H2,7/1/18,12/31/18,Netherlands,2,8,0,2,8, -, -, -
2018 H2,7/1/18,12/31/18,Norway,1,37,0,1,37, -, -, -
2018 H2,7/1/18,12/31/18,Russia,10,11,0,9,10, -, -, -
2018 H2,7/1/18,12/31/18,Saudi Arabia,1,25,0,1,25, -, -, -
2018 H2,7/1/18,12/31/18,Switzerland,1,19,0,1,15, -, -, -
2018 H2,7/1/18,12/31/18,Turkey,3,3,1,2,2, -, -, -
2019 H1,1/1/19,6/30/19,China mainland,56,196,2,55,194, -, -, -
2019 H1,1/1/19,6/30/19,Vietnam,2,46,2,0,0, -, -, -
2019 H1,1/1/19,6/30/19,India,1,1,0,1,1, -, -, -
2019 H1,1/1/19,6/30/19,Israel,1,1,0,1,1, -, -, -
2019 H1,1/1/19,6/30/19,Lebanon,1,1,0,1,1, -, -, -
2019 H1,1/1/19,6/30/19,Pakistan,1,3,0,1,3, -, -, -
2019 H1,1/1/19,6/30/19,Russia,5,16,0,5,15, -, -, -
2019 H1,1/1/19,6/30/19,Turkey,2,2,0,2,2, -, -, -
2019 H1,1/1/19,6/30/19,United Arab Emirates,1,275,1,0,0, -, -, -
2019 H2,7/1/19,12/31/19,China mainland,47,203,3,45,187,0,0,0
2019 H2,7/1/19,12/31/19,Vietnam,2,33,2,0,0,0,0,0
2019 H2,7/1/19,12/31/19,Austria,1,18,0,1,18,0,0,0
2019 H2,7/1/19,12/31/19,Hungary,1,1,1,0,0,0,0,0
2019 H2,7/1/19,12/31/19,India,1,1,0,1,1,1,1,1
2019 H2,7/1/19,12/31/19,Russia,2,2,1,1,1,0,0,0
2020 H1,1/1/20,6/30/20,China mainland,46,152,0,46,152,0,0,0
2020 H1,1/1/20,6/30/20,Sri Lanka,1,1,0,1,1,0,0,0
2020 H1,1/1/20,6/30/20,Taiwan,1,1,0,1,1,1,1,1
2020 H1,1/1/20,6/30/20,Germany,1,1,0,1,1,0,0,0
2020 H1,1/1/20,6/30/20,India,2,38,0,2,38,0,0,0
2020 H1,1/1/20,6/30/20,Norway,1,34,0,1,34,0,0,0
2020 H1,1/1/20,6/30/20,Russia,3,4,0,3,4,0,0,0
2020 H1,1/1/20,6/30/20,Switzerland,1,8,0,1,8,0,0,0
2020 H2,7/1/20,12/31/20,China mainland,26,90,0,26,90,0,0,0
2020 H2,7/1/20,12/31/20,Germany,2,2,0,2,2,0,0,0
2020 H2,7/1/20,12/31/20,India,6,102,0,6,102,0,0,0
2020 H2,7/1/20,12/31/20,Kuwait,1,2,0,1,2,0,0,0
2020 H2,7/1/20,12/31/20,Portugal,1,1,0,1,1,0,0,0
2020 H2,7/1/20,12/31/20,Russia,1,1,0,1,1,0,0,0
2020 H2,7/1/20,12/31/20,United Arab Emirates,1,6,0,1,6,0,0,0
2020 H2,7/1/20,12/31/20,Vietnam,1,2,0,1,2,0,0,0
2021 H1,1/1/21,6/30/21,China mainland,34,89,0,34,89,0,0,0
2021 H1,1/1/21,6/30/21,Malaysia,1,1,0,1,1,0,0,0
2021 H1,1/1/21,6/30/21,South Korea,3,25,0,3,25,1,1,1
2021 H1,1/1/21,6/30/21,India,3,0,3,0,0,0,0,0
2021 H1,1/1/21,6/30/21,Pakistan,1,5,1,0,0,0,0,0
2021 H1,1/1/21,6/30/21,Russia,2,2,1,1,1,0,0,0
2021 H1,1/1/21,6/30/21,Brazil,1,1,0,1,1,0,0,0
2021 H2,7/1/21,12/31/21,China mainland,55,296,2,55,293,0,0,0
2021 H2,7/1/21,12/31/21,Taiwan,2,2,1,1,1,0,0,0
2021 H2,7/1/21,12/31/21,India,1,1,1,0,0,0,0,0
2021 H2,7/1/21,12/31/21,Pakistan,2,5,2,0,0,0,0,0
2021 H2,7/1/21,12/31/21,Russia,6,6,0,6,6,0,0,0
2021 H2,7/1/21,12/31/21,Turkey,1,1,0,1,1,0,0,0
2021 H2,7/1/21,12/31/21,Brazil,2,2,1,1,1,0,0,0
